measure,beat,startDiv,durationDiv,bassMidi,figures,rawIntervals
"1","1","0","8","43","5","5"
"1","3","8","8","55","8/5/3","3/5/8"
"2","1","16","8","41","8/3","3/8"
"2","3","24","8","48","8/6/4","4/6/8"
"3","1","32","8","43","8/3","3/8"
"3","3","40","8","50","6/4","4/6"
"4","1","48","8","50","","3/5"
"4","3","56","8","42","8/3","3/8"
"5","1","64","8","43","3","3"
"5","3","72","8","55","8/3","3/8"
"6","1","80","8","41","8/3","3/8"
"6","3","88","8","48","8/6/4","4/6/8"
"7","1","96","4","43","8/5/3","3/5/8"
"7","2","100","4","48","9/5/4/3","3/4/5/9"
"7","3","104","8","50","7","3/4/5/7/9"
"8","1","112","16","43","8/5/3","3/5/8"
"9","1","128","4","43","8","8"
"9","2","132","8","55","5/4/3","3/4/5"
"9","4","140","4","50","6/4","4/6"
"10","1","144","4","41","4/3","3/4"
"10","2","148","8","53","8/3","3/8"
"10","4","156","4","45","6","3/6"
"11","1","160","4","43","8/3","3/8"
"11","2","164","8","55","9/8/3","3/8/9"
"11","4","172","4","50","8/7/6/5/4","4/5/6/7/8"
"12","1","176","6","50","8/5/3","3/5/8"
"12","2.5","182","2","48","9/6/4","4/6/9"
"12","3","184","4","46","7","3/5/7"
"12","4","188","4","45","4","4"
"13","1","192","4","43","","3/5"
"13","2","196","8","50","6/5/4","4/5/6"
"13","4","204","4","50","6/4","4/6"
"14","1","208","4","41","9/5/3","3/5/9"
"14","2","212","8","53","8/5","5/8"
"14","4","220","4","45","8/6/3","3/6/8"
"15","1","224","4","43","8/5/3","3/5/8"
"15","2","228","4","48","9/8/7/5","5/7/8/9"
"15","3","232","8","50","7","3/5/7/8/9"
"16","1","240","16","43","8/5/3","3/5/8"
